epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1895,1.57772,3.28706,1.25666,0.01013,1,0.25713,0.13969,1.16823,3.37579,1.07425,0.00018337,0.00018337,0.00018337
2,63.3269,1.1997,1.82166,1.0296,0.01,1,0.24857,0.10195,1.06093,3.21216,1.03138,0.000375818,0.000375818,0.000375818
3,100.624,1.16639,1.69702,1.02794,0.01002,1,0.38523,0.24592,1.10651,3.1069,1.04934,0.000560345,0.000560345,0.000560345
4,128.272,1.12845,1.44844,1.00457,0.01002,1,0.4903,0.31311,1.04463,2.99966,1.01173,0.000736951,0.000736951,0.000736951
5,155.944,1.11629,1.32987,0.9947,0.00994,1,0.66459,0.45595,1.0556,2.74215,1.01718,0.000905634,0.000905634,0.000905634
6,214.749,1.10842,1.22313,0.99573,0.91939,0.4344,0.93425,0.67677,1.03596,2.41338,1.0164,0.0010664,0.0010664,0.0010664
7,293.018,1.10996,1.1553,1.0097,0.85092,0.62239,0.9016,0.64077,1.07503,2.16138,1.02589,0.00121924,0.00121924,0.00121924
8,364.459,1.05344,1.13843,0.99052,0.83442,0.7973,0.89737,0.61447,1.10872,1.85505,1.0416,0.00136416,0.00136416,0.00136416
9,391.88,1.03859,1.05851,0.96288,0.95943,0.85684,0.95453,0.65747,1.09104,1.15819,1.03609,0.00140295,0.00140295,0.00140295
10,419.406,1.06348,1.03837,0.99594,0.87824,0.91637,0.91962,0.63347,1.05275,1.3523,1.04157,0.00136994,0.00136994,0.00136994
11,474.161,1.01926,0.98044,0.97061,0.88733,0.99074,0.97952,0.7177,0.99128,0.99646,1.00865,0.00133693,0.00133693,0.00133693
12,551.786,1.01492,0.97414,0.98155,0.96521,0.98148,0.97886,0.7045,1.04194,0.96352,1.02607,0.00130393,0.00130393,0.00130393
13,629.226,0.99517,0.88634,0.96281,0.94588,0.95395,0.98232,0.69177,1.01983,1.01804,0.99679,0.00127092,0.00127092,0.00127092
14,704.494,1.01209,0.92415,0.97147,0.84766,0.75299,0.83238,0.58665,1.0608,1.26598,1.00816,0.00123791,0.00123791,0.00123791
15,751.608,0.98592,0.89947,0.97013,0.88086,0.8661,0.9269,0.64555,1.02881,0.95859,0.99182,0.00120491,0.00120491,0.00120491
16,778.345,0.98838,0.86867,0.96058,0.90451,0.92308,0.95551,0.71089,0.91058,0.91987,0.95539,0.0011719,0.0011719,0.0011719
17,805.442,0.98979,0.86605,0.97983,0.88337,0.84615,0.84787,0.61297,0.97346,1.14973,0.98087,0.00113889,0.00113889,0.00113889
18,832.198,0.99647,0.85605,0.98353,0.87989,0.84356,0.82505,0.56376,1.01286,1.18548,1.00271,0.00110589,0.00110589,0.00110589
19,858.801,0.98584,0.80822,0.95051,0.90369,0.84303,0.88306,0.65062,1.00203,1.06685,0.99302,0.00107288,0.00107288,0.00107288
20,885.435,0.96659,0.76455,0.95475,0.87557,0.93032,0.98196,0.73824,0.949,0.87925,0.97336,0.00103987,0.00103987,0.00103987
21,912.376,0.99926,0.77485,0.97464,0.99758,1,0.995,0.73968,0.94731,0.69441,0.97728,0.00100687,0.00100687,0.00100687
22,939.151,0.96339,0.74673,0.95162,0.99219,0.98407,0.995,0.73953,0.93679,0.64505,0.96147,0.000973861,0.000973861,0.000973861
23,966.806,0.94119,0.72896,0.94643,0.99375,0.98596,0.995,0.73514,0.92574,0.62455,0.96475,0.000940855,0.000940855,0.000940855
24,994.735,0.9256,0.72725,0.94343,0.98481,0.99512,0.99413,0.73743,0.93538,0.66591,0.96382,0.000907848,0.000907848,0.000907848
25,1021.52,0.90119,0.69076,0.92305,0.99601,0.99881,0.995,0.74303,0.9111,0.65536,0.95337,0.000874842,0.000874842,0.000874842
26,1049.09,0.92599,0.69647,0.94377,0.94986,0.94872,0.98321,0.72418,0.92166,0.66549,0.96247,0.000841835,0.000841835,0.000841835
27,1076.74,0.91768,0.70768,0.94264,0.99317,1,0.995,0.74188,0.91073,0.59887,0.95978,0.000808828,0.000808828,0.000808828
28,1104.05,0.94021,0.70131,0.94521,0.99785,1,0.995,0.73871,0.91507,0.59865,0.96058,0.000775822,0.000775822,0.000775822
29,1130.89,0.90097,0.67259,0.93766,0.96134,1,0.995,0.74696,0.93938,0.60569,0.96255,0.000742815,0.000742815,0.000742815
30,1158.56,0.91096,0.65662,0.93234,0.99345,1,0.995,0.72823,0.9441,0.61619,0.96197,0.000709809,0.000709809,0.000709809
31,1185.35,0.90757,0.6761,0.93381,0.99562,0.96154,0.99413,0.73659,0.94912,0.61683,0.97192,0.000676802,0.000676802,0.000676802
32,1212.11,0.90882,0.64557,0.93888,0.99505,1,0.995,0.74939,0.90733,0.5617,0.9511,0.000643795,0.000643795,0.000643795
33,1238.81,0.92866,0.63056,0.93773,0.94416,1,0.995,0.75761,0.89891,0.58445,0.94789,0.000610789,0.000610789,0.000610789
34,1265.94,0.89888,0.6302,0.94031,0.9933,0.99735,0.995,0.74998,0.87872,0.54262,0.95028,0.000577782,0.000577782,0.000577782
35,1292.78,0.89647,0.62143,0.93016,0.98129,0.99916,0.99413,0.76,0.87447,0.53459,0.94123,0.000544776,0.000544776,0.000544776
36,1320.2,0.88703,0.60416,0.92791,0.998,1,0.995,0.76848,0.86693,0.53627,0.94042,0.000511769,0.000511769,0.000511769
37,1350.01,0.87545,0.61193,0.92485,0.99723,1,0.995,0.74775,0.89991,0.53105,0.95981,0.000478762,0.000478762,0.000478762
38,1433.16,0.88761,0.58465,0.9349,0.99757,1,0.995,0.7555,0.90443,0.51534,0.9468,0.000445756,0.000445756,0.000445756
39,1504.5,0.87206,0.58058,0.92348,0.99622,1,0.995,0.75425,0.88177,0.5203,0.94195,0.000412749,0.000412749,0.000412749
40,1531.07,0.87272,0.56488,0.91648,0.99762,1,0.995,0.75601,0.88452,0.50968,0.94854,0.000379743,0.000379743,0.000379743
41,1557.6,0.88876,0.66263,0.94742,0.99772,1,0.995,0.7612,0.88352,0.50889,0.9491,0.000346736,0.000346736,0.000346736
